"gene","gbm","mean_expr","var_expr","cv_expr"
"AT1G01010",FALSE,0.0826273824441213,0.0778254502956956,3.37626732812507
"AT1G01020",FALSE,0.14048579093775,0.0877593003863248,2.1086969763339
"AT1G01030",FALSE,0.0311965261555738,0.0292520422074974,5.48241439626805
"AT1G01040",TRUE,0.0499907838047157,0.0395310802438225,3.97721798850741
"AT1G01050",TRUE,0.860966072235833,0.506669008526756,0.826753672146921
"AT1G01060",TRUE,0.00490796504119743,0.00456427654489642,13.7652630283351
"AT1G01070",FALSE,0.0453865118376034,0.0534251618353919,5.09267681853302
"AT1G01080",FALSE,0.00875480305771756,0.00703083234674753,9.57760650509515
"AT1G01090",FALSE,0.367122447606683,0.249148892894227,1.3596231190145
"AT1G01100",FALSE,1.55132957052996,1.23200853252073,0.715488712878
"AT1G01110",FALSE,0.0376859079206577,0.0287184715622336,4.49678039178043
"AT1G01120",FALSE,0.0217987753793175,0.0264028931853295,7.45407336805595
"AT1G01130",FALSE,0.0130179496757213,0.00895406066870928,7.2688788070727
"AT1G01140",FALSE,0.19890685387175,0.20403038836772,2.27089827257783
"AT1G01160",FALSE,0.173335879040306,0.116665279003145,1.970526795062
"AT1G01170",FALSE,0.0211407894992577,0.0157985744808071,5.94549131504218
"AT1G04013",FALSE,0.000106459987781844,4.47581250764847e-05,62.8419323418029
"AT1G01180",FALSE,0.031375506912947,0.0321827388142657,5.71769189533581
"AT1G01200",FALSE,0.0244808144658673,0.0176343862615574,5.4244325350997
"AT1G01210",FALSE,0.0564374719881455,0.036295742398381,3.37567237665071
"AT1G01220",TRUE,0.0356210407346181,0.0236742212211406,4.31947780438355
"AT1G01225",FALSE,0.0176281205045589,0.0154883846525385,7.05987565986724
"AT1G01230",TRUE,0.396471314559733,0.258949615401922,1.2834999745375
"AT1G01240",FALSE,0.126517528356627,0.108834535317655,2.60755011942868
"AT1G01260",TRUE,0.0523533579449423,0.0451035382833827,4.05658671290544
"AT1G01290",FALSE,0.0575339163527833,0.0358146812278627,3.28932364863339
"AT1G01300",FALSE,0.119323841348455,0.0867206938957263,2.46793743764425
"AT1G01305",FALSE,0.000195411751079598,0.00013518083233353,59.4986184547932
"AT1G01310",FALSE,0.00296583665442518,0.00187385363421861,14.595554684002
"AT1G01320",TRUE,0.0151724893783098,0.0127607162278346,7.44527396774504
"AT1G01340",TRUE,0.00852346336666507,0.00700861248933786,9.82199989588604
"AT1G01350",TRUE,0.271000251311815,0.173596895997515,1.53745100295778
"AT1G01355",FALSE,9.44129290345292e-05,3.62887599948846e-05,63.8049823620796
"AT1G01360",FALSE,0.259654392866082,0.20828756724155,1.75766457310701
"AT1G01370",FALSE,0.0339432673154411,0.0228679137414229,4.45512227666326
"AT1G01380",FALSE,0.049009377862024,0.0391297013414258,4.03621300198038
"AT1G01430",FALSE,0.0447430763776649,0.0366933621728395,4.28122361588442
"AT1G01440",TRUE,0.043764277041441,0.0351675371227625,4.28500387201601
"AT1G01448",FALSE,0.0254626750312995,0.0160134071962646,4.96978780706475
